lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Unkontrolliertheit,,unkontrolliert,ADJ.,8,2680,1,1.0
Unkontrolliertheit,,unkontrollierte,ADJ.,8,0,0,
Unkonzentriertheit,,unkonzentriert,ADJ.,344,686,1,1.0
Unkonzentriertheit,,unkonzentrierte,ADJ.,344,0,0,
Unkorrektheit,,unkorrekt,ADJ.,51,442,1,1.0
Unkorrektheit,,unkorrekte,ADJ.,51,0,0,
Unlesbarkeit,,unlesbar,ADJ.,42,275,1,1.0
Unmäßigkeit,,unmäßig,ADJ.,37,102,1,1.0
Unmäßigkeit,,unmäß,ADJ.,37,0,0,
Unmenschlichkeit,,unmenschlich,ADJ.,392,1903,1,1.0
Unmittelbarkeit,,unmittelbar,ADJ.,444,40567,1,1.0
Unmöglichkeit,,unmöglich,ADJ.,1600,22422,1,1.0
Unmuendigkeit,,unmuend,ADJ.,0,0,0,
Unmündigkeit,,unmündig,ADJ.,315,430,1,1.0
Unmündigkeit,,unmünd,ADJ.,315,0,0,
Unnachvollziehbarkeit,,unnachvollziehbar,ADJ.,1,22,1,1.0
Unnahbarkeit,,unnahbar,ADJ.,72,358,1,1.0
Unnatürlichkeit,,unnatürlich,ADJ.,12,1876,1,1.0
Unorganisiertheit,,unorganisiert,ADJ.,6,283,1,1.0
Unorganisiertheit,,unorganisierte,ADJ.,6,0,0,
Unpünktlichkeit,,unpünktlich,ADJ.,110,184,1,1.0
Unregelmaessigkeit,,unregelmaess,ADJ.,6,0,0,
Unregelmässigkeit,,unregelmäss,ADJ.,104,0,0,
Unregelmäßigkeit,,unregelmäßig,ADJ.,1119,4116,1,1.0
Unregelmäßigkeit,,unregelmäß,ADJ.,1009,0,0,
Unreinheit,,unrein,ADJ.,413,1125,1,1.0
Unreinheit,,unreine,ADJ.,413,0,0,
Unrichtigkeit,,unrichtig,ADJ.,282,1261,1,1.0
Unrichtigkeit,,unricht,ADJ.,282,0,0,
Unsauberkeit,,unsauber,ADJ.,185,1299,1,1.0
Unscheinbarkeit,,unscheinbar,ADJ.,31,2609,1,1.0
Unschlüssigkeit,,unschlüssig,ADJ.,42,1100,1,1.0
Unschlüssigkeit,,unschlüss,ADJ.,42,0,0,
Unsicherheit,,unsicher,ADJ.,8074,12489,1,1.0
Unsicherheit,,unsichere,ADJ.,8074,0,0,
Unsichtbarkeit,,unsichtbar,ADJ.,232,7994,1,1.0
Unsinnigkeit,,unsinnig,ADJ.,138,4774,1,1.0
Unsinnigkeit,,unsinn,ADJ.,138,0,0,
Unsittlichkeit,,unsittlich,ADJ.,48,256,1,1.0
Unsportlichkeit,,unsportlich,ADJ.,273,918,1,1.0
Unsterblichkeit,,unsterblich,ADJ.,1237,2604,1,1.0
Unstimmigkeit,,unstimmig,ADJ.,1396,145,1,1.0
Unstimmigkeit,,unstimm,ADJ.,1396,0,0,
Untadeligkeit,,untadelig,ADJ.,9,168,1,1.0
Untadeligkeit,,untadel,ADJ.,9,0,0,
Untaetigkeit,,untaet,ADJ.,2,0,0,
Untätigkeit,,untätig,ADJ.,615,976,1,1.0
Untätigkeit,,untät,ADJ.,613,0,0,
Untauglichkeit,,untauglich,ADJ.,65,1051,1,1.0
Unterhaltsamkeit,,unterhaltsam,ADJ.,24,9496,1,1.0
Unterlegenheit,,unterlegen,ADJ.,267,765,1,1.0
Unterlegenheit,,unterlegend,ADJ.,252,16,1,
Unterlegenheit,,unterlegene,ADJ.,252,0,0,
Unterscheidbarkeit,,unterscheidbar,ADJ.,88,523,1,1.0
Unterschiedlichkeit,,unterschiedlich,ADJ.,569,123713,1,1.0
Untertänigkeit,,untertänig,ADJ.,31,158,1,1.0
Untertänigkeit,,untertän,ADJ.,31,0,0,
Unterwürfigkeit,,unterwürfig,ADJ.,248,449,1,1.0
Unterwürfigkeit,,unterwürf,ADJ.,248,0,0,
Untrennbarkeit,,untrennbar,ADJ.,29,2135,1,1.0
Ununterscheidbarkeit,,ununterscheidbar,ADJ.,25,79,1,1.0
Unveränderlichkeit,,unveränderlich,ADJ.,68,680,1,1.0
Unvereinbarkeit,,unvereinbar,ADJ.,272,1756,1,1.0
Unverfrorenheit,,unverfroren,ADJ.,142,221,1,1.0
Unverfrorenheit,,unverfrorend,ADJ.,142,0,0,
Unverfrorenheit,,unverfrorene,ADJ.,142,0,0,
Unvergänglichkeit,,unvergänglich,ADJ.,59,408,1,1.0
Unverletzlichkeit,,unverletzlich,ADJ.,221,206,1,1.0
Unverschämtheit,,unverschämt,ADJ.,1059,2985,1,1.0
Unverschämtheit,,unverschämte,ADJ.,1059,0,0,
Unversehrtheit,,unversehrt,ADJ.,898,1273,1,1.0
Unversehrtheit,,unversehrte,ADJ.,898,0,0,
Unverständlichkeit,,unverständlich,ADJ.,105,5132,1,1.0
Unverträglichkeit,,unverträglich,ADJ.,929,355,1,1.0
Unverwertbarkeit,,unverwertbar,ADJ.,19,41,1,1.0
Unverweslichkeit,,unverweslich,ADJ.,16,0,0,
Unverzichtbarkeit,,unverzichtbar,ADJ.,49,6831,1,1.0
Unverzinslichkeit,,unverzinslich,ADJ.,3,48,1,1.0
Unvollendbarkeit,,unvollendbar,ADJ.,0,8,1,1.0
Unvollkommenheit,,unvollkommen,ADJ.,371,789,1,1.0
Unvollkommenheit,,unvollkommend,ADJ.,371,2,1,
Unvollkommenheit,,unvollkommene,ADJ.,371,0,0,
Unvorsichtigkeit,,unvorsichtig,ADJ.,109,612,1,1.0
Unvorsichtigkeit,,unvorsicht,ADJ.,109,0,0,
Unwägbarkeit,,unwägbar,ADJ.,515,0,0,
Unwahrheit,,unwahr,ADJ.,1152,1107,1,1.0
Unwahrheit,,unwahre,ADJ.,1152,0,0,
Unwegsamkeit,,unwegsam,ADJ.,38,545,1,1.0
Unwirklichkeit,,unwirklich,ADJ.,54,802,1,1.0
Unwirksamkeit,,unwirksam,ADJ.,699,3657,1,1.0
Unwirtlichkeit,,unwirtlich,ADJ.,34,493,1,1.0
Unwirtschaftlichkeit,,unwirtschaftlich,ADJ.,94,715,1,1.0
Unwissenheit,,unwissend,ADJ.,2318,1593,1,1.0
Unwissenheit,,unwissen,ADJ.,2318,0,0,
Unwissenheit,,unwissene,ADJ.,2318,0,0,
Unwürdigkeit,,unwürdig,ADJ.,50,1408,1,1.0
Unwürdigkeit,,unwürd,ADJ.,50,0,0,
Unzerbrechlichkeit,,unzerbrechlich,ADJ.,4,144,1,1.0
Unzufriedenheit,,unzufrieden,ADJ.,2296,4615,1,1.0
Unzufriedenheit,,unzufriedend,ADJ.,2296,1,1,
Unzufriedenheit,,unzufriedene,ADJ.,2296,0,0,
Unzulänglichkeit,,unzulänglich,ADJ.,1533,699,1,1.0
Unzulässigkeit,,unzulässig,ADJ.,191,6146,1,1.0
Unzulässigkeit,,unzuläss,ADJ.,191,0,0,
Unzumutbarkeit,,unzumutbar,ADJ.,169,1737,1,1.0
Unzuträglichkeit,,unzuträglich,ADJ.,21,16,1,1.0
Unzuverlässigkeit,,unzuverlässig,ADJ.,292,1033,1,1.0
Unzuverlässigkeit,,unzuverläss,ADJ.,292,0,0,
Urgottheit,,urgotte,ADJ.,10,0,0,
Ursprünglichkeit,,ursprünglich,ADJ.,409,40872,1,1.0
Verallgemeinerbarkeit,,verallgemeinerbar,ADJ.,13,105,1,1.0
Veränderlichkeit,,veränderlich,ADJ.,88,738,1,1.0
Verantwortlichkeit,,verantwortlich,ADJ.,2536,44558,1,1.0
Verantwortungslosigkeit,,verantwortungslos,ADJ.,296,1260,1,1.0
Verantwortungslosigkeit,,verantwortungslosig,ADJ.,296,0,0,
Verbindlichkeit,,verbindlich,ADJ.,2949,11145,1,1.0
Verbissenheit,,verbissen,ADJ.,177,806,1,1.0
Verbissenheit,,verbissend,ADJ.,177,0,0,
Verbissenheit,,verbissene,ADJ.,177,0,0,
Verborgenheit,,verborgen,ADJ.,100,3233,1,1.0
Verborgenheit,,verborgend,ADJ.,100,10,1,
Verborgenheit,,verborgene,ADJ.,100,0,0,
Verbundenheit,,verbunden,ADJ.,2991,29487,1,1.0
Verbundenheit,,verbundend,ADJ.,2991,0,0,
Verbundenheit,,verbundene,ADJ.,2991,0,0,
Verdaulichkeit,,verdaulich,ADJ.,176,986,1,1.0
Verderblichkeit,,verderblich,ADJ.,14,532,1,1.0
Verderbtheit,,verderbt,ADJ.,78,109,1,1.0
Verderbtheit,,verderbte,ADJ.,78,0,0,
Verdrossenheit,,verdrossen,ADJ.,65,19,1,1.0
Verdrossenheit,,verdrossend,ADJ.,65,0,0,
Verdrossenheit,,verdrossene,ADJ.,65,0,0,
Vereinbarkeit,,vereinbar,ADJ.,2028,2973,1,1.0
Vererbbarkeit,,vererbbar,ADJ.,37,266,1,1.0
Verfasstheit,,verfasst,ADJ.,196,11019,1,1.0
Verfasstheit,,verfasste,ADJ.,196,0,0,
Verfassungsmäßigkeit,,verfassungsmäßig,ADJ.,349,667,1,1.0
Verfassungsmäßigkeit,,verfassungsmäß,ADJ.,349,0,0,
Verfolgbarkeit,,verfolgbar,ADJ.,11,124,1,1.0
Verformbarkeit,,verformbar,ADJ.,51,98,1,1.0
Verfügbarkeit,,verfügbar,ADJ.,7531,35152,1,1.0
Vergangenheit,,vergangen,ADJ.,39855,71581,1,1.0
Vergangenheit,,vergangend,ADJ.,39855,0,0,
Vergangenheit,,vergangene,ADJ.,39855,0,0,
Vergänglichkeit,,vergänglich,ADJ.,932,814,1,1.0
Vergessenheit,,vergessen,ADJ.,2752,2933,1,1.0
Vergessenheit,,vergessend,ADJ.,2752,123,1,
Vergessenheit,,vergessene,ADJ.,2752,0,0,
Vergesslichkeit,,vergesslich,ADJ.,413,550,1,1.0
Vergleichbarkeit,,vergleichbar,ADJ.,1133,22478,1,1.0
Verhaltensauffälligkeit,,verhaltensauffällig,ADJ.,592,250,1,1.0
Verhaltensauffälligkeit,,verhaltensauffäll,ADJ.,592,0,0,
Verhältnismäßigkeit,,verhältnismäßig,ADJ.,923,3676,1,1.0
Verhältnismäßigkeit,,verhältnismäß,ADJ.,923,0,0,
Verhandelbarkeit,,verhandelbar,ADJ.,4,403,1,1.0
Verhandlungsfähigkeit,,verhandlungsfähig,ADJ.,18,65,1,1.0
Verhandlungsfähigkeit,,verhandlungsfäh,ADJ.,18,0,0,
Verklammertheit,,verklammert,ADJ.,0,9,1,1.0
Verklammertheit,,verklammerte,ADJ.,0,0,0,
Verklemmtheit,,verklemmt,ADJ.,60,228,1,1.0
Verklemmtheit,,verklemmte,ADJ.,60,0,0,
Verkommenheit,,verkommen,ADJ.,77,369,1,1.0
Verkommenheit,,verkommend,ADJ.,77,9,1,
Verkommenheit,,verkommene,ADJ.,77,0,0,
Verlassenheit,,verlassen,ADJ.,201,2617,1,1.0
Verlassenheit,,verlassend,ADJ.,201,112,1,
Verlassenheit,,verlassene,ADJ.,201,0,0,
Verlässlichkeit,,verlässlich,ADJ.,1299,6779,1,1.0
Verlegenheit,,verlegen,ADJ.,1135,1201,1,1.0
Verlegenheit,,verlegend,ADJ.,1135,60,1,
Verlegenheit,,verlegene,ADJ.,1135,0,0,
Verletzlichkeit,,verletzlich,ADJ.,316,793,1,1.0
Verliebtheit,,verliebt,ADJ.,520,2030,1,1.0
Verliebtheit,,verliebte,ADJ.,520,0,0,
Verlogenheit,,verlogen,ADJ.,307,1351,1,1.0
Verlogenheit,,verlogend,ADJ.,307,0,0,
Verlogenheit,,verlogene,ADJ.,307,0,0,
Verlorenheit,,verloren,ADJ.,172,10184,1,1.0
Verlorenheit,,verlorend,ADJ.,172,0,0,
Verlorenheit,,verlorene,ADJ.,172,0,0,
Vermarktbarkeit,,vermarktbar,ADJ.,32,102,1,1.0
Vermessenheit,,vermessen,ADJ.,87,363,1,1.0
Vermessenheit,,vermessend,ADJ.,87,27,1,
Vermessenheit,,vermessene,ADJ.,87,0,0,
Vermietbarkeit,,vermietbar,ADJ.,37,95,1,1.0
Vermittelbarkeit,,vermittelbar,ADJ.,36,624,1,1.0
Vermögenslosigkeit,,vermögenslos,ADJ.,18,23,1,1.0
Vermögenslosigkeit,,vermögenslosig,ADJ.,18,0,0,
Verruchtheit,,verrucht,ADJ.,33,349,1,1.0
Verruchtheit,,verruchte,ADJ.,33,0,0,
Verrücktheit,,verrückt,ADJ.,332,9349,1,1.0
Verrücktheit,,verrückte,ADJ.,332,0,0,
Verschiedenartigkeit,,verschiedenartig,ADJ.,157,1083,1,1.0
Verschiedenartigkeit,,verschiedenart,ADJ.,157,0,0,
Verschiedenheit,,verschieden,ADJ.,1066,227200,1,1.0
Verschiedenheit,,verschiedend,ADJ.,1066,0,0,
Verschiedenheit,,verschiedene,ADJ.,1066,0,0,
Verschlagenheit,,verschlagen,ADJ.,77,224,1,1.0
Verschlagenheit,,verschlagend,ADJ.,77,2,1,
Verschlagenheit,,verschlagene,ADJ.,77,0,0,
Verschlossenheit,,verschlossen,ADJ.,113,3777,1,1.0
Verschlossenheit,,verschlossend,ADJ.,113,0,0,
Verschlossenheit,,verschlossene,ADJ.,113,0,0,
Verschnarchtheit,,verschnarcht,ADJ.,3,37,1,1.0
Verschnarchtheit,,verschnarchte,ADJ.,3,0,0,
Verschobenheit,,verschoben,ADJ.,0,857,1,1.0
Verschobenheit,,verschobend,ADJ.,0,0,0,
Verschobenheit,,verschobene,ADJ.,0,0,0,
Verschollenheit,,verschollen,ADJ.,6,1955,1,1.0
Verschollenheit,,verschollend,ADJ.,6,0,0,
Verschollenheit,,verschollene,ADJ.,6,0,0,
