lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Linearität,,linear,ADJ.,220,5367,1,1.0
Liquidität,,liquid,ADJ.,1881,2323,1,1.0
Lokalität,,lokal,ADJ.,1054,30111,1,1.0
Lokalität,,lokell,ADJ.,1054,0,0,
Loyalität,,loyal,ADJ.,1713,1309,1,1.0
Loyalität,,loyell,ADJ.,1713,0,0,
Majorität,,major,ADJ.,169,0,0,
Mentalität,,mental,ADJ.,2745,5338,1,1.0
Mentalität,,mentell,ADJ.,2745,0,0,
Minorität,,minor,ADJ.,183,0,0,
Mobilität,,mobil,ADJ.,7257,33968,1,1.0
Mobilität,,mobel,ADJ.,7257,0,0,
Modalität,,modal,ADJ.,851,269,1,1.0
Modalität,,modell,ADJ.,851,0,0,
Modernität,,modern,ADJ.,573,82878,1,1.0
Monstrosität,,monstros,ADJ.,82,0,0,
Monumentalität,,monumental,ADJ.,87,1439,1,1.0
Monumentalität,,monumentell,ADJ.,87,0,0,
Moralität,,moral,ADJ.,230,0,0,
Moralität,,morell,ADJ.,230,0,0,
Morbidität,,morbid,ADJ.,244,598,1,1.0
Mortalität,,mortal,ADJ.,431,0,0,
Mortalität,,mortell,ADJ.,431,0,0,
Multifunktionalität,,multifunktionell,ADJ.,93,123,1,
Musikalität,,musikal,ADJ.,457,0,0,
Musikalität,,musikell,ADJ.,457,0,0,
Naivität,,naiv,ADJ.,1147,6369,1,1.0
Nationalität,,national,ADJ.,2736,40036,1,1.0
Nationalität,,nationell,ADJ.,2736,5,1,
Nehmerqualität,,nehmerqual,ADJ.,54,0,0,
Nehmerqualität,,nehmerquell,ADJ.,54,0,0,
Nervosität,,nervos,ADJ.,1957,0,0,
Neutralität,,neutral,ADJ.,1646,12362,1,1.0
Neutralität,,neutrell,ADJ.,1646,0,0,
Nichtlinearität,,nichtlinear,ADJ.,68,603,1,1.0
Nichtlokalität,,nichtlokal,ADJ.,26,62,1,1.0
Nichtlokalität,,nichtlokell,ADJ.,26,0,0,
Normalität,,normal,ADJ.,2385,120834,1,1.0
Normalität,,normell,ADJ.,2385,0,0,
Novität,,nov,ADJ.,128,0,0,
Nullität,,,ADJ.,2,0,0,
Objektivität,,objektiv,ADJ.,1622,13160,1,1.0
Obskurität,,obskur,ADJ.,21,918,1,1.0
Obszönität,,obszön,ADJ.,99,694,1,1.0
Offensivqualität,,offensivqual,ADJ.,31,0,0,
Offensivqualität,,offensivquell,ADJ.,31,0,0,
Opportunität,,opportun,ADJ.,98,281,1,1.0
Originalität,,original,ADJ.,1180,68210,1,1.0
Originalität,,originell,ADJ.,1180,6123,1,
Parallelität,,parallel,ADJ.,319,20003,1,1.0
Parität,,par,ADJ.,251,0,0,
Passivität,,passiv,ADJ.,641,8710,1,1.0
Pathogenität,,pathogen,ADJ.,34,518,1,1.0
Perfidität,,perfid,ADJ.,6,16,1,1.0
Personalität,,personell,ADJ.,80,6638,1,1.0
Personalität,,personal,ADJ.,80,2263,1,
Perversität,,pervers,ADJ.,94,2313,1,1.0
Plastizität,,plastisch,ADJ.,345,3484,1,1.0
Plastizität,,plastiz,ADJ.,345,0,0,
Plausibilität,,plausibel,ADJ.,543,4461,1,1.0
Plausibilität,,plausibil,ADJ.,543,0,0,
Pluralität,,plural,ADJ.,750,401,1,1.0
Pluralität,,plurell,ADJ.,750,0,0,
Polarität,,polar,ADJ.,969,1662,1,1.0
Popularität,,popular,ADJ.,2155,404,1,1.0
Potentialität,,potentiell,ADJ.,58,18137,1,1.0
Potentialität,,potential,ADJ.,58,474,1,
Primitivität,,primitiv,ADJ.,62,3021,1,1.0
Priorität,,prior,ADJ.,8369,0,0,
Produktivität,,produktiv,ADJ.,3247,4849,1,1.0
Professionalität,,professionell,ADJ.,2076,35409,1,1.0
Professionalität,,professional,ADJ.,2076,252,1,
Promiskuität,,promisku,ADJ.,89,0,0,
Proportionalität,,proportional,ADJ.,101,1547,1,1.0
Proportionalität,,proportionell,ADJ.,101,19,1,
Prosperität,,prosper,ADJ.,225,0,0,
Publizität,,publiz,ADJ.,156,0,0,
Publizität,,publisch,ADJ.,156,0,0,
Qualität,,qual,ADJ.,78975,0,0,
Qualität,,quell,ADJ.,78975,0,0,
Quantität,,quant,ADJ.,1839,0,0,
Radikalität,,radikal,ADJ.,437,10687,1,1.0
Radikalität,,radikell,ADJ.,437,0,0,
Radioaktivität,,radioaktiv,ADJ.,1202,4270,1,1.0
Rarität,,rar,ADJ.,1740,3599,1,1.0
Rationalität,,rationell,ADJ.,1080,1016,1,1.0
Rationalität,,rational,ADJ.,1080,5072,1,
Reaktivität,,reaktiv,ADJ.,134,848,1,1.0
Realität,,real,ADJ.,26842,25786,1,1.0
Realität,,reell,ADJ.,26842,1579,1,
