lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Sampling,,samp,ADJ.,187,0,0,
Sampling,,sampen,VVINF,187,0,0,
Wrestling,,wrest,ADJ.,900,0,0,
Wrestling,,wresten,VVINF,900,0,0,
Riesling,,ries,ADJ.,381,0,0,
Riesling,,riesen,VVINF,381,0,0,
Tackling,,tack,ADJ.,99,0,0,
Tackling,,tacken,VVINF,99,0,0,
Reling,,re,ADJ.,380,0,0,
Reling,,reen,VVINF,380,0,0,
Tintling,,tint,ADJ.,7,0,0,
Tintling,,tinten,VVINF,7,0,0,
Saibling,,saib,ADJ.,185,0,0,
Saibling,,saiben,VVINF,185,0,0,
Prowrestling,,prowrest,ADJ.,0,0,0,
Prowrestling,,prowresten,VVINF,0,0,0,
Pooling,,poo,ADJ.,45,0,0,
Pooling,,pooen,VVINF,45,0,0,
Quisling,,quis,ADJ.,10,0,0,
Quisling,,quisen,VVINF,10,0,0,
Parasailing,,parasai,ADJ.,53,0,0,
Parasailing,,parasaien,VVINF,53,0,0,
Presslin,,pres,ADJ.,0,0,0,
Presslin,,presen,VVINF,0,0,0,
Supersampling,,supersamp,ADJ.,17,0,0,
Supersampling,,supersampen,VVINF,17,0,0,
Scheduling,,schedu,ADJ.,63,0,0,
Scheduling,,scheduen,VVINF,63,0,0,
Impfling,,impf,ADJ.,39,0,0,
Perversling,,perversen,VVINF,24,0,0,
Erstimpfling,,erstimpf,ADJ.,11,0,0,
Printmailing,,printmai,ADJ.,6,0,0,
Printmailing,,printmaien,VVINF,6,0,0,
Jazzfeeling,,jazzfee,ADJ.,5,0,0,
Jazzfeeling,,jazzfeeen,VVINF,5,0,0,
Urlaubsfeeling,,urlaubsfee,ADJ.,109,0,0,
Urlaubsfeeling,,urlaubsfeeen,VVINF,109,0,0,
Multisampling,,multisamp,ADJ.,14,0,0,
Multisampling,,multisampen,VVINF,14,0,0,
