lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Illuminant,,illuminieren,VVINF,0,25,1,1.0
Immigrant,,immigrieren,VVINF,732,10,1,1.0
Implantant,,implantieren,VVINF,19,168,1,1.0
Informant,,informieren,VVINF,1167,24385,1,1.0
Initiant,,initiieren,VVINF,185,903,1,1.0
Intendant,,intendieren,VVINF,1422,31,1,1.0
Interpellant,,interpellieren,VVINF,6,0,0,
Interpretant,,interpretieren,VVINF,7,3225,1,1.0
Kombattant,,kombattieren,VVINF,146,0,0,
Kommandant,,kommandieren,VVINF,3182,105,1,1.0
Komödiant,,komödiieren,VVINF,264,0,0,
Konspirant,,konspirieren,VVINF,2,7,1,1.0
Kontaminant,,kontaminieren,VVINF,43,50,1,1.0
Konzertant,,konzertieren,VVINF,3,33,1,1.0
Kooperant,,kooperieren,VVINF,1,996,1,1.0
Kumulant,,kumulieren,VVINF,2,48,1,1.0
Laborant,,laborieren,VVINF,184,6,1,1.0
Leutnant,,leutnieren,VVINF,2308,0,0,
Mandant,,mandieren,VVINF,16986,0,0,
Manipulant,,manipulieren,VVINF,3,1757,1,1.0
Migrant,,migrieren,VVINF,4822,0,0,
Ministrant,,ministrieren,VVINF,563,0,0,
Montant,,montieren,VVINF,4,2565,1,1.0
Navigant,,navigieren,VVINF,3,787,1,1.0
Observant,,observieren,VVINF,4,58,1,1.0
Okkupant,,okkupieren,VVINF,53,27,1,1.0
Operant,,operieren,VVINF,15,1592,1,1.0
Partizipant,,partizipieren,VVINF,17,491,1,1.0
Passant,,passieren,VVINF,3222,24548,1,1.0
Pedant,,pedieren,VVINF,100,0,0,
Pendant,,pendieren,VVINF,1889,0,0,
Performant,,performieren,VVINF,10,0,0,
Prädikant,,prädikieren,VVINF,102,0,0,
Primiziant,,primiziieren,VVINF,30,0,0,
Probant,,probieren,VVINF,103,8799,1,1.0
Projektant,,projektieren,VVINF,11,66,1,1.0
Protestant,,protestieren,VVINF,1623,1364,1,1.0
Protokollant,,protokollieren,VVINF,43,334,1,1.0
Proviant,,proviieren,VVINF,755,0,0,
Quadrant,,quadrieren,VVINF,550,0,0,
Querulant,,querulieren,VVINF,374,3,1,1.0
Reflektant,,reflektieren,VVINF,8,1897,1,1.0
Registrant,,registrieren,VVINF,43,9818,1,1.0
Rehabilitant,,rehabilitieren,VVINF,11,241,1,1.0
Reklamant,,reklamieren,VVINF,6,564,1,1.0
Remonstrant,,remonstrieren,VVINF,1,0,0,
Rendant,,rendieren,VVINF,50,0,0,
Repräsentant,,repräsentieren,VVINF,2978,806,1,1.0
Resultant,,resultieren,VVINF,24,527,1,1.0
