lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Kompilation,,kompilieren,VVINF,173,0,0,
Komplikation,,komplikieren,VVINF,3958,0,0,
Kondensation,,kondensieren,VVINF,322,83,1,1.0
Konfiguration,,konfigurieren,VVINF,7431,1736,1,1.0
Konfirmation,,konfirmieren,VVINF,1150,33,1,1.0
Konföderation,,konföderieren,VVINF,325,0,0,
Konfrontation,,konfrontieren,VVINF,2939,672,1,1.0
Kongregation,,kongregieren,VVINF,656,0,0,
Konjugation,,konjugieren,VVINF,125,0,0,
Konnotation,,konnotieren,VVINF,359,0,0,
Konspiration,,konspirieren,VVINF,75,7,1,1.0
Konstellation,,konstellieren,VVINF,4756,0,0,
Konsultation,,konsultieren,VVINF,940,651,1,1.0
Konsumation,,konsumieren,VVINF,27,1183,1,1.0
Kontamination,,kontaminieren,VVINF,738,50,1,1.0
Kontemplation,,kontemplieren,VVINF,393,0,0,
Konversation,,konversieren,VVINF,1073,2,1,1.0
Konzentration,,konzentrieren,VVINF,13795,8841,1,1.0
Kooperation,,kooperieren,VVINF,27594,996,1,1.0
Koordination,,koordinieren,VVINF,4905,1400,1,1.0
Kopulation,,kopulieren,VVINF,80,29,1,1.0
Korporation,,korporieren,VVINF,237,0,0,
Korrelation,,korrelieren,VVINF,1479,100,1,1.0
Kreation,,kreieren,VVINF,2254,1647,1,1.0
Kristallisation,,kristallisieren,VVINF,195,67,1,1.0
Kulmination,,kulminieren,VVINF,78,19,1,1.0
Kumulation,,kumulieren,VVINF,111,48,1,1.0
Lamentation,,lamentieren,VVINF,12,191,1,1.0
Legitimation,,legitimieren,VVINF,2241,620,1,1.0
Liquidation,,liquidieren,VVINF,471,197,1,1.0
Location,,locieren,VVINF,4314,0,0,
Lokalisation,,lokalisieren,VVINF,607,808,1,1.0
Lokation,,lokieren,VVINF,228,0,0,
Luxation,,luxieren,VVINF,133,0,0,
Manifestation,,manifestieren,VVINF,1116,632,1,1.0
Manipulation,,manipulieren,VVINF,4387,1757,1,1.0
Masturbation,,masturbieren,VVINF,283,55,1,1.0
Mediation,,mediieren,VVINF,2640,0,0,
Medikation,,medikieren,VVINF,901,0,0,
Meditation,,meditieren,VVINF,5808,562,1,1.0
Melioration,,meliorieren,VVINF,69,0,0,
Menstruation,,menstruieren,VVINF,509,7,1,1.0
Migration,,migrieren,VVINF,4670,0,0,
Mineralisation,,mineralisieren,VVINF,53,0,0,
Missinterpretation,,missinterpretieren,VVINF,32,0,0,
Mobilisation,,mobilisieren,VVINF,187,1552,1,1.0
Moderation,,moderieren,VVINF,4127,661,1,1.0
Modifikation,,modifikieren,VVINF,2782,0,0,
Modulation,,modulieren,VVINF,794,93,1,1.0
Motivation,,motivieren,VVINF,14475,3741,1,1.0
Multiplikation,,multiplikieren,VVINF,516,0,0,
Mutation,,mutieren,VVINF,2368,455,1,1.0
