lemma,POS,freq
dran,PTKVZ,380260
dran,ADV,10956
Linke,NN,379370
Kommune,NN,379161
Symbol,NN,379062
extra,ADJD,379027
extra,ADJA,159645
Level,NN,378821
fern,ADJD,378325
fern,ADJA,135009
fern,PTKVZ,49551
fern,APPR,45618
intern,ADJA,377675
intern,ADJD,113197
Maus,NN,376578
Rang,NN,375006
Last,NN,374014
Arm,NN,371110
Feind,NN,370584
via,APPR,367310
leid,ADJD,365612
Debatte,NN,364949
Alkohol,NN,364902
Hafen,NN,364564
Staffel,NN,363801
Griff,NN,362648
Studio,NN,361550
Heft,NN,360867
Messe,NN,360468
nahe,PTKVZ,359877
nahe,APPR,302584
krank,ADJD,359580
krank,ADJA,196329
golden,ADJA,359427
golden,ADJD,98550
folgen,VVINF,358796
Welle,NN,357796
Note,NN,356739
Armee,NN,356061
Ja,NN,355147
Spruch,NN,353807
Burg,NN,353570
dicht,ADJD,351908
dicht,ADJA,182530
dumm,ADJD,350900
dumm,ADJA,246817
Schlag,NN,350397
teils,ADV,350313
korrekt,ADJD,350146
korrekt,ADJA,218667
fallen,VVINF,350118
Gas,NN,349946
Ehe,NN,348957
interessieren,VVINF,347446
Flasche,NN,346304
kaputt,ADJD,345849
kaputt,ADJA,59183
Komponente,NN,345704
Ruf,NN,345688
Nutzen,NN,345117
Schuss,NN,345063
Finale,NN,343541
bereit,PTKVZ,343517
Zeuge,NN,343397
Brot,NN,342052
Symptom,NN,341683
Kredit,NN,341344
Stärke,NN,340989
Bibel,NN,340027
schließen,VVINF,339664
Tool,NN,339534
Ressource,NN,339366
Akku,NN,338381
Frucht,NN,336023
Phänomen,NN,335646
Bauch,NN,335472
fort,PTKVZ,334226
fort,ADV,52039
Tiefe,NN,332745
retten,VVINF,332248
fördern,VVINF,331909
Klima,NN,330813
wechseln,VVINF,330718
Streit,NN,329944
Hose,NN,329798
Sand,NN,329160
öffnen,VVINF,329054
Schlüssel,NN,329053
funktionieren,VVINF,327432
Kampagne,NN,326203
Wurzel,NN,324680
Box,NN,324344
Milch,NN,323890
Display,NN,323275
Klick,NN,322674
blöd,ADJD,322662
blöd,ADJA,224655
wild,ADJA,322554
wild,ADJD,188300
Weile,NN,321273
Sorge,NN,320459
Mode,NN,320076
enorm,ADJA,319824
enorm,ADJD,254041
Schnitt,NN,319201
schlicht,ADJD,319046
schlicht,ADJA,118989
Trick,NN,318741
Tonne,NN,315921
Papst,NN,314990
prüfen,VVINF,314946
Zeug,NN,314536
handeln,VVINF,313815
Eis,NN,312315
schicken,VVINF,311277
Hals,NN,310963
Bord,NN,310509
Salz,NN,310206
Innere,NN,309494
Wärme,NN,309019
Tarif,NN,308755
kämpfen,VVINF,308195
Mädel,NN,307810
Protest,NN,307716
Hobby,NN,306678
Kasse,NN,306073
Klang,NN,304999
Profi,NN,304948
Kern,NN,304852
Kontext,NN,304600
Garantie,NN,304550
heißen,VVINF,304453
Button,NN,304101
Turm,NN,303118
rum,PTKVZ,302143
rum,ADV,148855
