sfx,iter,period,factor,sample_size,n_types,entropy
er,57,1482-1549,0.5,29,19,3.8784509276597543
er,57,1482-1549,0.25,15,13,3.5898980954642874
er,57,1482-1549,0.125,8,7,2.75
er,57,1482-1549,0.0625,4,4,2.0
er,58,1482-1549,1.0,57,33,4.612477333299178
er,58,1482-1549,0.5,29,21,4.280226253673658
er,58,1482-1549,0.25,15,13,3.640223928941852
er,58,1482-1549,0.125,8,7,2.75
er,58,1482-1549,0.0625,4,4,2.0
er,59,1482-1549,1.0,57,33,4.612477333299178
er,59,1482-1549,0.5,29,21,4.155755892486182
er,59,1482-1549,0.25,15,11,3.3735572622751855
er,59,1482-1549,0.125,8,5,2.0
er,59,1482-1549,0.0625,4,4,2.0
er,60,1482-1549,1.0,57,33,4.612477333299178
er,60,1482-1549,0.5,29,21,4.042412565665391
er,60,1482-1549,0.25,15,13,3.640223928941852
er,60,1482-1549,0.125,8,7,2.75
er,60,1482-1549,0.0625,4,4,2.0
er,61,1482-1549,1.0,57,33,4.612477333299178
er,61,1482-1549,0.5,29,24,4.444187891679296
er,61,1482-1549,0.25,15,13,3.5898980954642874
er,61,1482-1549,0.125,8,6,2.5
er,61,1482-1549,0.0625,4,3,1.5
er,62,1482-1549,1.0,57,33,4.612477333299178
er,62,1482-1549,0.5,29,20,4.11282097876768
er,62,1482-1549,0.25,15,13,3.640223928941852
er,62,1482-1549,0.125,8,8,3.0
er,62,1482-1549,0.0625,4,3,1.5
er,63,1482-1549,1.0,57,33,4.612477333299178
er,63,1482-1549,0.5,29,21,4.237291339955156
er,63,1482-1549,0.25,15,13,3.640223928941852
er,63,1482-1549,0.125,8,6,2.5
er,63,1482-1549,0.0625,4,3,1.5
er,64,1482-1549,1.0,57,33,4.612477333299178
er,64,1482-1549,0.5,29,18,3.7545327192655025
er,64,1482-1549,0.25,15,12,3.3735572622751855
er,64,1482-1549,0.125,8,8,3.0
er,64,1482-1549,0.0625,4,3,1.5
er,65,1482-1549,1.0,57,33,4.612477333299178
er,65,1482-1549,0.5,29,20,4.021268494903763
er,65,1482-1549,0.25,15,10,3.1068905956085193
er,65,1482-1549,0.125,8,6,2.4056390622295667
er,65,1482-1549,0.0625,4,4,2.0
er,66,1482-1549,1.0,57,33,4.612477333299178
er,66,1482-1549,0.5,29,20,4.021268494903763
er,66,1482-1549,0.25,15,11,3.240223928941852
er,66,1482-1549,0.125,8,8,3.0
er,66,1482-1549,0.0625,4,4,2.0
er,67,1482-1549,1.0,57,33,4.612477333299178
er,67,1482-1549,0.5,29,19,3.904481531182632
er,67,1482-1549,0.25,15,13,3.5898980954642874
er,67,1482-1549,0.125,8,6,2.5
er,67,1482-1549,0.0625,4,4,2.0
er,68,1482-1549,1.0,57,33,4.612477333299178
er,68,1482-1549,0.5,29,19,3.8784509276597543
er,68,1482-1549,0.25,15,12,3.506890595608519
er,68,1482-1549,0.125,8,6,2.5
er,68,1482-1549,0.0625,4,4,2.0
er,69,1482-1549,1.0,57,33,4.612477333299178
er,69,1482-1549,0.5,29,21,4.185230132909401
er,69,1482-1549,0.25,15,13,3.640223928941852
er,69,1482-1549,0.125,8,8,3.0
er,69,1482-1549,0.0625,4,3,1.5
er,70,1482-1549,1.0,57,33,4.612477333299178
er,70,1482-1549,0.5,29,20,4.021268494903763
er,70,1482-1549,0.25,15,14,3.773557262275186
er,70,1482-1549,0.125,8,7,2.75
er,70,1482-1549,0.0625,4,4,2.0
er,71,1482-1549,1.0,57,33,4.612477333299178
er,71,1482-1549,0.5,29,22,4.185230132909401
er,71,1482-1549,0.25,15,13,3.640223928941852
er,71,1482-1549,0.125,8,8,3.0
er,71,1482-1549,0.0625,4,3,1.5
er,72,1482-1549,1.0,57,33,4.612477333299178
er,72,1482-1549,0.5,29,22,4.250752013250438
er,72,1482-1549,0.25,15,10,2.9995812306460645
er,72,1482-1549,0.125,8,8,3.0
er,72,1482-1549,0.0625,4,4,2.0
er,73,1482-1549,1.0,57,33,4.612477333299178
er,73,1482-1549,0.5,29,20,4.047299098426642
er,73,1482-1549,0.25,15,12,3.456564762130954
er,73,1482-1549,0.125,8,8,3.0
er,73,1482-1549,0.0625,4,4,2.0
er,74,1482-1549,1.0,57,33,4.612477333299178
er,74,1482-1549,0.5,29,23,4.375222374437915
er,74,1482-1549,0.25,15,11,3.240223928941852
er,74,1482-1549,0.125,8,7,2.75
er,74,1482-1549,0.0625,4,4,2.0
er,75,1482-1549,1.0,57,33,4.612477333299178
er,75,1482-1549,0.5,29,20,3.9952378913808855
er,75,1482-1549,0.25,15,12,3.3735572622751855
er,75,1482-1549,0.125,8,6,2.5
er,75,1482-1549,0.0625,4,4,2.0
er,76,1482-1549,1.0,57,33,4.612477333299178
er,76,1482-1549,0.5,29,21,4.155755892486182
er,76,1482-1549,0.25,15,12,3.3735572622751855
