sfx,iter,factor,sample_size,n_types,entropy
-nis,76,0.25,4780,49,4.2082917620577645
-nis,76,0.125,2390,48,4.20184273331047
-nis,76,0.0625,1195,45,4.242624654322821
-nis,77,1.0,19119,53,4.184978906203813
-nis,77,0.5,9560,49,4.207134314095596
-nis,77,0.25,4780,49,4.180482586211445
-nis,77,0.125,2390,48,4.189315908557456
-nis,77,0.0625,1195,43,4.168261123009047
-nis,78,1.0,19119,51,4.187949081195044
-nis,78,0.5,9560,50,4.204874787364384
-nis,78,0.25,4780,46,4.175124975020608
-nis,78,0.125,2390,48,4.169833950921965
-nis,78,0.0625,1195,45,4.149014858972222
-nis,79,1.0,19119,52,4.195200209657567
-nis,79,0.5,9560,50,4.2037071115409175
-nis,79,0.25,4780,48,4.221189227551899
-nis,79,0.125,2390,48,4.151675434326996
-nis,79,0.0625,1195,43,4.273568237910774
-nis,80,1.0,19119,51,4.193563358957452
-nis,80,0.5,9560,51,4.210592074508211
-nis,80,0.25,4780,49,4.178042394301588
-nis,80,0.125,2390,47,4.134516073006212
-nis,80,0.0625,1195,42,4.135251713098722
-nis,81,1.0,19119,52,4.2099416776272
-nis,81,0.5,9560,52,4.209604292892568
-nis,81,0.25,4780,49,4.147816950410159
-nis,81,0.125,2390,44,4.137245284543024
-nis,81,0.0625,1195,41,4.150099732311994
-nis,82,1.0,19119,52,4.207743066716846
-nis,82,0.5,9560,50,4.212925224585355
-nis,82,0.25,4780,50,4.1844122161610136
-nis,82,0.125,2390,47,4.2123330701839485
-nis,82,0.0625,1195,44,4.150706538398772
-nis,83,1.0,19119,52,4.201854909008634
-nis,83,0.5,9560,50,4.217031555133215
-nis,83,0.25,4780,50,4.157151136931944
-nis,83,0.125,2390,48,4.212877599803635
-nis,83,0.0625,1195,42,4.183751703712734
-nis,84,1.0,19119,52,4.195454758564087
-nis,84,0.5,9560,49,4.208059277939562
-nis,84,0.25,4780,49,4.210678585790708
-nis,84,0.125,2390,48,4.20649374136181
-nis,84,0.0625,1195,43,4.220195583797554
-nis,85,1.0,19119,52,4.204844361579691
-nis,85,0.5,9560,50,4.200474925067517
-nis,85,0.25,4780,48,4.144041634960147
-nis,85,0.125,2390,48,4.199115026382933
-nis,85,0.0625,1195,42,4.1815155512041535
-nis,86,1.0,19119,52,4.201783861976159
-nis,86,0.5,9560,51,4.203468488612744
-nis,86,0.25,4780,51,4.198023812651669
-nis,86,0.125,2390,47,4.2096400268439025
-nis,86,0.0625,1195,43,4.196627982524487
-nis,87,1.0,19119,51,4.1815882146411365
-nis,87,0.5,9560,50,4.225472415168433
-nis,87,0.25,4780,47,4.175426873486489
-nis,87,0.125,2390,48,4.185588769934051
-nis,87,0.0625,1195,47,4.2071223161406355
-nis,88,1.0,19119,50,4.181244205143445
-nis,88,0.5,9560,51,4.177419342790394
-nis,88,0.25,4780,49,4.176023078651029
-nis,88,0.125,2390,44,4.122633800866885
