sfx,iter,period,factor,sample_size,n_types,entropy
er,60,1482-1549,0.0625,4,4,2.0
er,61,1482-1549,1.0,57,27,4.446582119276078
er,61,1482-1549,0.5,29,14,3.4646578242114785
er,61,1482-1549,0.25,15,9,2.866247897312731
er,61,1482-1549,0.125,8,6,2.5
er,61,1482-1549,0.0625,4,4,2.0
er,62,1482-1549,1.0,57,22,4.104758549883727
er,62,1482-1549,0.5,29,16,3.7974676329840045
er,62,1482-1549,0.25,15,13,3.640223928941852
er,62,1482-1549,0.125,8,6,2.5
er,62,1482-1549,0.0625,4,4,2.0
er,63,1482-1549,1.0,57,25,4.424457120524498
er,63,1482-1549,0.5,29,17,3.8664331502253835
er,63,1482-1549,0.25,15,10,3.1068905956085193
er,63,1482-1549,0.125,8,8,3.0
er,63,1482-1549,0.0625,4,3,1.5
er,64,1482-1549,1.0,57,27,4.390103506137944
er,64,1482-1549,0.5,29,19,4.116264615668022
er,64,1482-1549,0.25,15,11,3.240223928941852
er,64,1482-1549,0.125,8,6,2.5
er,64,1482-1549,0.0625,4,4,2.0
er,65,1482-1549,1.0,57,22,4.073015191731859
er,65,1482-1549,0.5,29,18,3.8833374604210054
er,65,1482-1549,0.25,15,9,2.866247897312731
er,65,1482-1549,0.125,8,7,2.75
er,65,1482-1549,0.0625,4,4,2.0
er,66,1482-1549,1.0,57,25,4.286592374034609
er,66,1482-1549,0.5,29,18,3.922828737239166
er,66,1482-1549,0.25,15,10,3.1068905956085193
er,66,1482-1549,0.125,8,4,1.811278124459133
er,66,1482-1549,0.0625,4,4,2.0
er,67,1482-1549,1.0,57,24,3.9876747178536243
er,67,1482-1549,0.5,29,17,3.5055919968905505
er,67,1482-1549,0.25,15,11,3.132914563979398
er,67,1482-1549,0.125,8,7,2.75
er,67,1482-1549,0.0625,4,4,2.0
er,68,1482-1549,1.0,57,24,4.1599383222999835
er,68,1482-1549,0.5,29,20,4.168325822713777
er,68,1482-1549,0.25,15,9,2.8159220638351665
er,68,1482-1549,0.125,8,7,2.75
er,68,1482-1549,0.0625,4,4,2.0
er,69,1482-1549,1.0,57,24,4.087557672842565
er,69,1482-1549,0.5,29,16,3.715932185515029
er,69,1482-1549,0.25,15,11,3.323231428797621
er,69,1482-1549,0.125,8,7,2.75
er,69,1482-1549,0.0625,4,4,2.0
er,70,1482-1549,1.0,57,24,4.220326032394678
er,70,1482-1549,0.5,29,19,3.9783335811852627
er,70,1482-1549,0.25,15,10,3.189898095464288
er,70,1482-1549,0.125,8,6,2.5
er,70,1482-1549,0.0625,4,4,2.0
er,71,1482-1549,1.0,57,23,4.078676314479821
er,71,1482-1549,0.5,29,15,3.521605564018486
er,71,1482-1549,0.25,15,11,3.240223928941852
er,71,1482-1549,0.125,8,7,2.75
er,71,1482-1549,0.0625,4,4,2.0
er,72,1482-1549,1.0,57,24,4.042854490269882
er,72,1482-1549,0.5,29,14,3.4646578242114785
er,72,1482-1549,0.25,15,13,3.640223928941852
er,72,1482-1549,0.125,8,4,1.75
er,72,1482-1549,0.0625,4,4,2.0
er,73,1482-1549,1.0,57,24,4.1640256923316175
