bigraph,freq,propn
kn,2642941,0.00019678360269332295
ko,26048156,0.001939449265495407
kr,9915505,0.0007382717951038851
ks,1491850,0.00011107762817181081
kt,28690933,0.002136220657355858
ku,15097677,0.0011241171378249155
ky,69337,5.162576334449741e-06
kz,348219,2.592709763338123e-05
kä,807412,6.0116908481052456e-05
ké,89656,6.6754538535186985e-06
kö,6213173,0.0004626098604156814
kü,2269805,0.0001690012774826672
la,52333431,0.003896553533916357
lb,11889401,0.0008852407839015689
lc,8834397,0.0006577764956853309
ld,14932606,0.001111826562257701
le,109558813,0.008157343629291786
lf,5510578,0.00041029723772213083
lg,2801887,0.00020861813343528538
lh,26624,1.9823244779611162e-06
li,36604097,0.0027254055542654393
lk,3248776,0.00024189183399236038
ll,48709760,0.003626748406085158
lm,3699413,0.00027544459675434067
ln,2515237,0.00018727523561348723
lo,10070857,0.0007498387299108343
lp,605741,4.510123240702541e-05
lr,11319,8.427708370658756e-07
ls,71237306,0.005304066084277579
lt,22993114,0.001711982147939845
lu,8001962,0.0005957964672594158
lv,14187,1.0563114997308576e-06
lw,16089,1.1979273785275088e-06
ly,135458,1.0085701214530381e-05
lz,2004725,0.0001492644020087364
lä,1859670,0.00013846414370229676
lö,1618575,0.0001205131025359042
lü,2823414,0.00021022095416233874
ma,36504066,0.0027179576163201672
mb,1142167,8.504152651815708e-05
md,955397,7.113532374063313e-05
me,61788908,0.004600573347163741
mf,167086,1.244060500768521e-05
mi,128920113,0.009598914351765816
ml,14589,1.0862429315269954e-06
mm,16485576,0.0012274549593632926
mn,92013,6.850947347905505e-06
mo,17027162,0.0012677794479721062
mp,9915944,0.0007383044814187073
ms,218657,1.6280390751860868e-05
mt,981017,7.30428940954019e-05
mu,3493357,0.00026010242981358214
my,196116,1.460207133863515e-05
mä,2501282,0.00018623619797489244
mö,519915,3.871094617484802e-05
mü,3087402,0.00022987652335885314
na,60054944,0.004471468806857875
nb,30105,2.241506851300308e-06
nc,2993032,0.00022285008251656083
nd,400261891,0.029802018634476568
ne,75260419,0.005603612184694631
nf,2971080,0.0002212156178628573
ng,36022803,0.002682124554975628
nh,10441,7.77398207421575e-07
ni,116651402,0.008685431549469737
nj,45788,3.409204972839678e-06
nk,19367550,0.0014420360743365316
nl,1530217,0.00011393429295718994
nm,167210,1.2449837588637253e-05
nn,103497409,0.007706033926767319
no,49624343,0.0036948448704792053
ns,22384352,0.0016666559830565604
nt,45151978,0.003361849129272904
nu,55852197,0.00415854782380583
nv,242827,1.8079999474529145e-05
nx,12639,9.410531504263276e-07
ny,290619,2.1638414868561507e-05
nz,26375980,0.001963857826931071
nä,137422,1.0231933383803054e-05
nö,52360,3.898531763297928e-06
nü,491144,3.656876402508017e-05
oa,573018,4.26647989675602e-05
ob,22941472,0.0017081370757985111
oc,84674518,0.006304551145243357
od,59903835,0.004460217790123341
oe,75729,5.6385009912679294e-06
of,10619002,0.000790651577378232
og,12065547,0.0008983559629691373
oh,21952847,0.0016345277181879227
oi,621894,4.6303924988624934e-05
oj,2850115,0.00021220901177524589
ok,5627690,0.0004190169636935469
ol,21728396,0.0016178159276454477
om,14182922,0.0010560078669476123
on,169509323,0.012621036667124294
oo,3093680,0.00023034395999769927
op,5320113,0.0003961159189234956
or,68014719,0.00506412418627355
os,8946521,0.0006661248336423213
ot,18823229,0.001401507947752687
ou,2815219,0.00020961078480022594
ov,567390,4.224575892241428e-05
ow,8197002,0.0006103184236214027
ox,367008,2.7326057016509663e-05
oy,152482,1.135324523168821e-05
oz,1204104,8.965312624740429e-05
oß,17910816,0.0013335730535253007
oë,16337,1.2163925404315937e-06
pa,13419481,0.0009991648763459328
pe,17990136,0.0013394789270826878
pf,9882630,0.0007358240443071238
ph,3030717,0.00022565596810670372
pi,10958613,0.0008159377551984262
pl,10889791,0.0008108135238574466
pn,57191,4.2582301389375825e-06
po,7237119,0.00053884908892794
pp,8171820,0.0006084434651251581
pr,36309899,0.0027035006603063345
ps,868942,6.469820449701353e-05
pt,2627654,0.0001956453892657917
pu,5444479,0.0004053757508806062
py,246795,1.8375442064994503e-05
pä,4674182,0.0003480222878998364
pé,38217,2.8454963406790853e-06
pö,47840,3.5619892963363806e-06
pü,251837,1.875085071951223e-05
qu,2866433,0.00021342398964601547
ra,43098974,0.0032089900516530092
rb,7716923,0.0005745735185336963
rc,27996030,0.002084480752506526
rd,35326504,0.0026302807091342878
re,92205558,0.006865284503735855
rf,3717879,0.000276819506753215
rg,4879880,0.0003633377994859109
rh,206089,1.5344623998592564e-05
ri,24377334,0.0018150460447578789
rk,12148577,0.0009045380693921056
rl,374835,2.7908826460958343e-05
rm,11926704,0.0008880182271858758
rn,26972642,0.0020082830706085516
ro,60465572,0.004502042647593159
rp,284531,2.1185124926335425e-05
rq,11002,8.191681905997671e-07
rr,3203044,0.00023848679857220873
rs,7001206,0.0005212838802977852
rt,37328288,0.002779326135170605
ru,22980219,0.0017110220339771305
rv,2229124,0.00016597232082371527
ry,949919,7.072745214018726e-05
rz,13660023,0.0010170747431795311
rä,2474931,0.00018427420006628543
rö,1350190,0.0001005301489970823
rü,10084660,0.000750866450192133
sa,18795359,0.0013994328507274175
sb,68945,5.133389465633607e-06
sc,110691770,0.00824169941330536
se,112386692,0.008367897030824698
sf,10099,7.519341535054579e-07
sh,1211990,9.024028861343498e-05
si,91385606,0.0068042339132778785
sk,2284311,0.00017008134054146014
sl,603560,4.493884322108666e-05
sm,665710,4.956630214180794e-05
sn,49959,3.719762191799106e-06
so,100945752,0.00751604699278066
sp,24429343,0.0018189184423605786
sq,55664,4.1445353718910596e-06
sr,30781,2.2918393087485396e-06
ss,84092847,0.0062612420759292
st,96567379,0.007190049547936007
su,4237985,0.0003155446740809811
sw,84091,6.261104555146793e-06
sy,3702071,0.0002756425015944256
sz,951942,7.087807723104195e-05
sä,253679,1.888799922042886e-05
sé,12425,9.251195026542543e-07
sü,1411970,0.00010513005908754346
ta,44164751,0.0032883438615669202
tc,471582,3.511224992359747e-05
te,120024561,0.008936584481176275
tf,431211,3.2106374717025645e-05
