lemma,unique_candidates,pos,lemma_freq,base_freq
Foliant,foliieren,VVINF,111,0
Oberministrant,oberministrieren,VVINF,18,0
Diskant,diskieren,VVINF,87,0
Fant,fieren,VVINF,41,0
Rendant,rendieren,VVINF,50,0
Obersimulant,obersimulieren,VVINF,0,0
Remigrant,remigrieren,VVINF,19,0
Krokant,krokieren,VVINF,104,0
Formant,formieren,VVINF,43,358
Quantum,quanieren,VVINF,1135,0
Mitpraktikant,mitpraktikieren,VVINF,0,0
Nichtsignifikant,nichtsignifikieren,VVINF,0,0
Diversant,diversieren,VVINF,1,0
Important,importieren,VVINF,57,1755
Exilant,exilieren,VVINF,28,0
Kumulant,kumulieren,VVINF,2,48
Konzelebrant,konzelebrieren,VVINF,46,0
Stadtmusikant,stadtmusikieren,VVINF,228,0
Agant,agieren,VVINF,0,3321
Warrant,warrieren,VVINF,77,0
Nebenvariant,nebenvariieren,VVINF,24,0
Transpirant,transpirieren,VVINF,0,10
Supermutant,supermutieren,VVINF,15,0
Bioquant,bioquieren,VVINF,10,0
Einzelmutant,einzelmutieren,VVINF,2,0
Resultant,resultieren,VVINF,24,527
Kovariant,kovariieren,VVINF,0,0
Nullmutant,nullmutieren,VVINF,1,0
Arrestant,arrestieren,VVINF,27,0
Votant,votieren,VVINF,34,100
Hierophant,hierophieren,VVINF,37,0
Superdiamant,superdiamieren,VVINF,0,0
Remonstrant,remonstrieren,VVINF,1,0
Erstkommandant,erstkommandieren,VVINF,0,0
Interpretant,interpretieren,VVINF,7,3225
Revenant,revenieren,VVINF,26,0
Drittlieferant,drittlieferieren,VVINF,1,0
Primiziant,primiziieren,VVINF,30,0
Exekutant,exekutieren,VVINF,1,80
Amarant,amarieren,VVINF,51,0
Performant,performieren,VVINF,10,0
Desinformant,desinformieren,VVINF,9,0
Urelefant,urelefieren,VVINF,4,0
Kontaminant,kontaminieren,VVINF,43,50
Virant,virieren,VVINF,0,0
Implantant,implantieren,VVINF,19,168
Konzertant,konzertieren,VVINF,3,33
Superintendant,superintendieren,VVINF,5,0
Währungsspekulant,währungsspekulieren,VVINF,7,0
Mitdemonstrant,mitdemonstrieren,VVINF,15,5
Oberkommandant,oberkommandieren,VVINF,13,0
Disputant,disputieren,VVINF,14,28
Delegant,delegieren,VVINF,0,425
Appellant,appellieren,VVINF,14,398
Brigant,brigieren,VVINF,15,0
Geomant,geomieren,VVINF,26,0
Interpellant,interpellieren,VVINF,6,0
Autoattendant,autoattendieren,VVINF,0,0
Approximant,approximieren,VVINF,5,0
Navigant,navigieren,VVINF,3,787
Kooperant,kooperieren,VVINF,1,996
Schnellrestaurant,schnellrestaurieren,VVINF,158,0
Rehabilitant,rehabilitieren,VVINF,11,241
Nichtmigrant,nichtmigrieren,VVINF,8,0
Determinant,determinieren,VVINF,0,26
Kommödiant,kommödiieren,VVINF,1,0
Superinformant,superinformieren,VVINF,0,0
Unterlieferant,unterlieferieren,VVINF,32,0
Supergigant,supergigieren,VVINF,0,0
Nichtkombattant,nichtkombattieren,VVINF,26,0
Assimilant,assimilieren,VVINF,4,165
Urgigant,urgigieren,VVINF,5,0
