lemma,unique_candidates,pos,lemma_freq,base_freq
Phantastik,phantastisch,ADJ.,351,4617
Egozentrik,egozentrisch,ADJ.,103,436
Wirtschaftsethik,wirtschaftsethisch,ADJ.,233,53
Kommunalpolitik,kommunalpolitisch,ADJ.,1573,1138
Allergika,allergiisch,ADJ.,0,0
Medienpolitik,medienpolitisch,ADJ.,268,206
Artistik,artistisch,ADJ.,289,397
Empirik,empirisch,ADJ.,8,7958
Antiallergik,antiallergisch,ADJ.,27,100
Nichtkatholik,nichtkatholisch,ADJ.,47,49
Probiotik,probiotisch,ADJ.,200,217
Befestigungstechnik,befestigungstechnisch,ADJ.,99,2
Hydrodynamik,hydrodynamisch,ADJ.,52,155
Hermetik,hermetisch,ADJ.,54,701
Musikfabrik,musikfabrisch,ADJ.,31,0
Architektonik,architektonisch,ADJ.,33,3941
Systematika,systematiisch,ADJ.,0,0
Organik,organisch,ADJ.,48,7791
Schaschlik,schaschlisch,ADJ.,63,0
Domestik,domestisch,ADJ.,20,4
Seifenfabrik,seifenfabrisch,ADJ.,28,0
Entwicklungspolitik,entwicklungspolitisch,ADJ.,809,850
Blasmusik,blasmusisch,ADJ.,781,0
Frauenklinik,frauenklinisch,ADJ.,387,1
Speik,speisch,ADJ.,8,0
Arsenik,arsenisch,ADJ.,59,0
Kombinatorik,kombinatorisch,ADJ.,95,155
Generalstreik,generalstreisch,ADJ.,708,0
Elektrika,elektriisch,ADJ.,0,0
Gentechnik,gentechnisch,ADJ.,3441,3398
Biik,biisch,ADJ.,5,7
Schweisstechnik,schweisstechnisch,ADJ.,22,2
Mechanika,mechaniisch,ADJ.,0,0
Bundesrepublik,bundesrepublisch,ADJ.,17320,0
Telekritik,telekritisch,ADJ.,0,0
Demokratik,demokratisch,ADJ.,1,23128
Lexik,lexisch,ADJ.,87,0
Quantenphysik,quantenphysisch,ADJ.,673,2
Drucktechnik,drucktechnisch,ADJ.,437,147
Trafik,trafisch,ADJ.,137,0
Essayistik,essayistisch,ADJ.,52,177
Biologik,biologisch,ADJ.,100,15009
Pragmatik,pragmatisch,ADJ.,233,3078
Antriebstechnik,antriebstechnisch,ADJ.,544,13
Fluidtechnik,fluidtechnisch,ADJ.,27,4
Beatnik,beatnisch,ADJ.,72,0
Bustouristik,bustouristisch,ADJ.,38,1
Syllogistik,syllogistisch,ADJ.,19,8
Kinderklinik,kinderklinisch,ADJ.,758,0
Geoinformatik,geoinformatisch,ADJ.,198,0
Tötungstechnik,tötungstechnisch,ADJ.,3,0
Kritika,kritiisch,ADJ.,0,0
Schwimmbadtechnik,schwimmbadtechnisch,ADJ.,60,0
Holzbrandtechnik,holzbrandtechnisch,ADJ.,0,0
Protouristik,protouristisch,ADJ.,0,0
Radtouristik,radtouristisch,ADJ.,17,20
Transferpolitik,transferpolitisch,ADJ.,280,1
Multisensorik,multisensorisch,ADJ.,11,37
Liturgik,liturgisch,ADJ.,47,1744
Massenpanik,massenpanisch,ADJ.,167,0
Unterhaltungselektronik,unterhaltungselektronisch,ADJ.,1074,1
Chormusik,chormusisch,ADJ.,339,0
Nervenklinik,nervenklinisch,ADJ.,113,0
Supertechnik,supertechnisch,ADJ.,5,1
Apologetik,apologetisch,ADJ.,88,150
